title,system,date
Final Fantasy VII Remake,PS4,27-05-2020
Celeste,Switch,13-03-2020
Steamworld Dig 2,Switch,04-03-2020
Zelda: A Link to the Past,SNES,29-01,2020
Gato Roboto,Switch
Super Mario U,Switch
Touryst,Switch
Link’s Awakening,Switch,14-12-2019
Monster Boy,Switch
Katamari Damacy Reroll,Switch
Shadow of the Tomb Raider,PS4,08-12-18
Spider-man,PS4,27-10-2018
God of War,PS4,08-06-2018
Steamworld Dig,Switch,30-05-2018
Batman: Return to Arkham - Arkham Asylum,PS4,10-04-2018
Kingdom Hearts Final Mix,PS4,04-04-2018
Breath of the Wild,Switch,01-03-2018
Inside,PS4,08-02-2018
Final Fantasy IX,PS4,29-01-2018
Master Blaster,Switch,20-01-2018
Oxenfree,PS4,11-01-2018
Gone Home,PC,06-01-2018
Mario Odyssey,Switch,01-01-2018
Final Fantasy XV,PS4
Horizon: ZD - The Frozen Wilds DLC,PS4
Ratchet and Clank (NG+),PS4
Sky Force,PS4
Final Fantasy VII,PS4
Sonic Mania,PS4
Horizon: Zero Dawn,PS4
Everybody’s Gone to the Rapture,PS4
Wonderboy 3: The Dragon’s Trap,PS4
Nex Machina,PS4
The Talos Principle,PC
Uncharted 4,PS4
Nier:Automata,PS4
Bayonetta,PC
Bastion,PC
Full Throttle,PC
Last Guardian,PS4
Sam & Max: Season 2,PC
Sonic Generations,PC
7th Guest,PC
Cave Story+,PC
Torchlight,PC
Uncharted Collection,PS4
Path of Exile,PC
Rayman Legends,XBONE
Disgaea,PC
Fez,PS4
Ratchet and Clank,PS4
The Witness,PC
Grim Fandango Remastered,PC
Firewatch,PC
